Day,Order sumary,,, Totals ,,,
Sunday,Item,Quantity,Total,"$2,581.95 ",,,
,501,10,,,,,
,502,67,,,,,
,503,65,,,,,
,504,46,,,,,
,505,27,,,,,
,506,12,,,,,
,507,61,,,,,
,508,30,,,,,
,509,42,,,,,
,510,21,,,,,
,511,61,,,,,
,512,14,,,,,
,513,27,,,,,
,514,63,,,,,
,515,57,,,,,
,516,70,,,,,
,517,57,,,,,
,518,38,,,,,
,519,6,,,,,
,,,,,,,
Monday,Item,Quantity,Total,"$1,701.60 ",,,
,501,13,,,,,
,502,0,,,,,
,503,28,,,,,
,504,20,,,,,
,505,39,,,,,
,506,7,,,,,
,507,58,,,,,
,508,12,,,,,
,509,44,,,,,
,510,4,,,,,
,511,40,,,,,
,512,14,,,,,
,513,1,,,,,
,514,40,,,,,
,515,1,,,,,
,516,66,,,,,
,517,70,,,,,
,518,66,,,,,
,519,30,,,,,
,,,,,,,
Tuesday,Item,Quantity,Total,"$2,100.55 ",,,
,501,16,,,,,
,502,5,,,,,
,503,49,,,,,
,504,21,,,,,
,505,63,,,,,
,506,4,,,,,
,507,57,,,,,
,508,35,,,,,
,509,67,,,,,
,510,40,,,,,
,511,3,,,,,
,512,57,,,,,
,513,53,,,,,
,514,22,,,,,
,515,74,,,,,
,516,40,,,,,
,517,46,,,,,
,518,32,,,,,
,519,20,,,,,
,,,,,,,
Wednesday,Item,Quantity,Total,"$1,997.05 ",,,
,501,12,,,,,
,502,56,,,,,
,503,1,,,,,
,504,35,,,,,
,505,24,,,,,
,506,3,,,,,
,507,51,,,,,
,508,52,,,,,
,509,6,,,,,
,510,48,,,,,
,511,67,,,,,
,512,18,,,,,
,513,73,,,,,
,514,58,,,,,
,515,0,,,,,
,516,57,,,,,
,517,34,,,,,
,518,70,,,,,
,519,56,,,,,
,,,,,,,
Thursday,Item,Quantity,Total,"$1,681.60 ",,,
,501,11,,,,,
,502,10,,,,,
,503,43,,,,,
,504,33,,,,,
,505,34,,,,,
,506,1,,,,,
,507,45,,,,,
,508,63,,,,,
,509,12,,,,,
,510,12,,,,,
,511,53,,,,,
,512,9,,,,,
,513,16,,,,,
,514,24,,,,,
,515,16,,,,,
,516,11,,,,,
,517,60,,,,,
,518,44,,,,,
,519,69,,,,,
,,,,,,,
Friday,Item,Quantity,Total,"$2,120.20 ",,,
,501,35,,,,,
,502,4,,,,,
,503,55,,,,,
,504,14,,,,,
,505,29,,,,,
,506,4,,,,,
,507,60,,,,,
,508,47,,,,,
,509,70,,,,,
,510,6,,,,,
,511,4,,,,,
,512,67,,,,,
,513,52,,,,,
,514,71,,,,,
,515,5,,,,,
,516,42,,,,,
,517,52,,,,,
,518,33,,,,,
,519,30,,,,,
,,,,,,,
Saturday,Item,Quantity,Total,"$5,582.85 ",,,
,501,189,,,,,
,502,174,,,,,
,503,164,,,,,
,504,135,,,,,
,505,185,,,,,
,506,134,,,,,
,507,177,,,,,
,508,129,,,,,
,509,120,,,,,
,510,170,,,,,
,511,182,,,,,
,512,134,,,,,
,513,171,,,,,
,514,159,,,,,
,515,141,,,,,
,516,150,,,,,
,517,183,,,,,
,518,159,,,,,
,519,100,,,,,
