menuID,ItmID,Quantity,Units,itemName
501,1,5,strips,chicken strips
501,2,1,piece,texas toast
501,3,1,cup,potato salad
501,4,1,cup,sauce
501,5,1,cup,drink
502,1,4,strips,chicken strips
502,2,1,piece,texas toast
502,3,1,cup,potato salad
502,4,1,cup,sauce
502,5,1,cup,drink
503,1,3,strips,chicken strips
503,2,1,piece,texas toast
503,3,1,cup,potato salad
503,4,1,cup,sauce
503,5,1,cup,drink
504,1,2,strips,chicken strips
504,2,1,piece,texas toast
504,3,1,cup,potato salad
504,4,1,cup,sauce
504,5,1,cup,drink
505,6,1,gal,tea
506,1,20,strips,chicken strips
506,2,4,piece,texas toast
506,3,4,cup,potato salad
506,4,8,cup,sauce
507,10,1,sandwich,club sanwich
,,,,
507,3,1,cup,potato salad
507,4,1,cup,sauce
507,5,1,cup,drink
501,8,1,tray,fries
502,8,1,tray,fries
503,8,1,tray,fries
504,8,1,tray,fries
506,8,4,tray,fries
507,8,1,tray,fries
508,10,1,sandwich,club sandwich
,,,,
509,11,1,sandwich,regular sandwich
,,,,
509,3,1,cup,potato salad
509,4,1,cup,sauce
509,5,1,cup,drink
509,8,1,tray,fries
510,11,1,sandwich,regular sandwich
511,9,1,sandwich,grilled cheese
511,3,1,cup,potato salad
511,4,1,cup,sauce
511,5,1,cup,drink
511,8,1,tray,fries
512,9,1,sandwich,grilled cheese
513,4,1,cup,sauce
514,1,1,strips,chicken strips
515,2,1,piece,texas toast
516,3,1,cup,potato salad
517,8,1,tray,fries
518,14,1,cup,drink
519,12,1,bottle,bottle drink
